"study","country","site","religion","subject_id","researcher","date","subject_gender","subject_age","subject_job","subject_schedule","subject_livedhere","subject_lang","subject_marital","subject_hs","subject_liveswith","subject_servicesperweek","subject_specialrole","spev_score","spev_recoded_score","pv_score","abs_score"
"study 1","Ghana","rural","charismatic",99011,"VDzokoto",2017-07-18,"Female",29,"Temporary Teacher","7","9 years","Fante, English, Twi","Widowed Woho kafo efi mu","Yes Nyew","Mother Maame (nna)","43228",1,0.555555555555556,0.555555555555556,1.66666666666667,0.794117647058823
"study 1","US","rural","local",99012,"JBrahinsky",2017-10-07,"Male",22,"Kstudent",NA,"14","Eng","Single","Yes","Mother","0.5",1,0.185185185185185,0.28,1.16666666666667,0.5
"study 1","Thailand","urban","local",99013,"Faulino",2017-03-19,"Female",40,"Unstable hours","Business Prof","30+ Years","Thai","Divorced,Single","Yes","Lives alone","2 X/ Month",0,0.259259259259259,0.269230769230769,0.666666666666667,0.5
"study 1","Ghana","urban","local",99014,"Jdulin",2017-04-27,"Female",50,"Traditionalist","1hr &40mins Daily","1year &6months","Ga &fante","Divorced","No","Child","14",1,0.592592592592593,0.692307692307692,1.83333333333333,0.852941176470588
"study 1","China","rural","charismatic",99015,"Emng",2017-04-28,"Female",63,"None","None","43 Years","Henan Dialect","Married","No","Child,Other relatives","2+",1,0.444444444444444,0.652173913043478,0.272727272727273,0.176470588235294
"study 1","Thailand","urban","charismatic",99016,"Faulino",2017-04-28,"Female",26,"Unstable hours","Recently Quit. Reception","20+ Yrs","Northern & Thai","Single","Yes","Mother,Sibling(s),Grandparent(s)","2",0,0.346153846153846,0.260869565217391,1.77777777777778,0.705882352941177
"study 1","China","urban","local",99017,"Emng",2018-03-20,"Male",39,"IT","Stable","Since College","Rural Jiangxi Dialect","Married","Yes","Spouse","Very Rarely",NA,0.444444444444444,0.571428571428571,NA,NA
"study 1","US","rural","charismatic",99018,"JBrahinsky",2017-04-26,"Male",38,"Photo Voltaic Design Construction Mgt","43317","28","Eng","Married","Yes","Spouse,Multiple children","1",1,0.407407407407407,0.333333333333333,0.416666666666667,0.558823529411765
"study 1","Thailand","urban","charismatic",99019,"Faulino",2017-03-02,"Male",39,"Unstable hours","Business","18 Years","Thai","Married","Yes","Multiple children,Spouse","5",1,0.423076923076923,0.222222222222222,1,0.676470588235294
"study 1","Ghana","urban","charismatic",99020,"Jdulin",2017-01-30,"Female",29,"Secretary","40","Ten Years","Fanti Ga","Single","Yes","Mother","5",1,0.481481481481481,0.571428571428571,NA,NA
"study 1","Ghana","rural","local",99021,"VDzokoto",2017-07-15,"Female",40,"Okomfo, Farmer","Varies","40 Years","Fante","Widowed Woho kafo efi mu","No Oho/ dabi","Other relatives Ebusuafo","Not Applicable",1,0.28125,0.227272727272727,1,0.117647058823529
"study 1","Ghana","urban","local",99022,"Jdulin",2017-05-03,"Female",27,"Traditionalist And Trader","27","27","Fante","Divorced","No","Lives with over 5 people","7",1,0.307692307692308,0.230769230769231,NA,NA
"study 1","Thailand","rural","local",99023,"Faulino",2017-04-17,"Male",30,"Unstable hours","Events","From Here, Back5-6years","Northern","Married","Yes","Spouse,Other relatives","N/A",0,0.230769230769231,0.24,1.25,0.588235294117647
"study 1","Vanuatu","urban","local",99024,"Rsmith",2017-02-22,"Male",31,"Agriculture Officer","Full Time","19","Bislama,malo","Maret finis (Married)","Yes","man o woman blong yu (Spouse),sam pikinini (Multiple children)","Sunday School, Sunday Twice A Week",1,0.444444444444444,0.407407407407407,NA,NA
"study 1","Ghana","rural","local",99025,"VDzokoto",2017-07-15,"Male",40,"Hunter, Driver, Obrafo","Varies","1 Year","Fante","Divorced Egyae aware","No Oho/ dabi","Other relatives Ebusuafo","Not Applicable",1,0.769230769230769,0.608695652173913,1.66666666666667,0.794117647058823
"study 1","Ghana","urban","charismatic",99026,"Jdulin",2017-02-28,"Male",33,"Engineer","50","4","Twi","Married","Yes","Spouse,Child","3",1,0.481481481481481,0.407407407407407,NA,NA
"study 1","China","urban","charismatic",99027,"Emng",2017-03-07,"Male",36,"Film Production And Investment","Unsteady, Loose Schedule","11","Henan Dialect","Single","Yes","Friends/roommates","3",1,0.375,0.375,0.166666666666667,0.794117647058823
"study 1","Ghana","urban","local",99028,"Jdulin",2017-04-21,"Female",73,"Traditional Birth Attendant","6hours Per Day. Occasiona","73","Fante,Ewe,English","Divorced","Yes","Multiple children,Other relatives","One",1,0.666666666666667,0.62962962962963,1.41666666666667,0.941176470588235
"study 1","US","rural","charismatic",99029,"JBrahinsky",2017-02-19,"Male",42,"Teacher","730-330","28","Eng","Married","Yes","Spouse,Multiple children","1",0,0.462962962962963,0.407407407407407,1,0.764705882352941
"study 1","Vanuatu","urban","charismatic",99030,"Rsmith",2017-03-06,"Female",27,"Healer (first Hotel)","All The Time At Church","10","Ake,ssanto","Singel (Single)","Yes","i bitim 5 (Lives with over 5 people),"" sam fren (olsem ol fren long skul) [Friends, like school friends] (Friends/roommates)""","Everyday",1,0.833333333333333,0.592592592592593,1.3,0.852941176470588
"study 1","Vanuatu","urban","local",99031,"Rsmith",2017-02-26,"Male",54,"School Based Management","Normal Hours","16 Yia","Nakanamanga Pele","Maret finis (Married)","Yes","man o woman blong yu (Spouse),sam pikinini (Multiple children)","13 Years",1,0.222222222222222,0.0740740740740741,0.5,0.5
"study 1","US","urban","charismatic",99032,"JBrahinsky",2017-10-08,"Male",45,"Software Cinsulting","43348","5","Kanada And Tamil","Married","Yes","Spouse","2",NA,0.314814814814815,0.307692307692308,0.6,0.352941176470588
"study 1","Ghana","urban","charismatic",99033,"Jdulin",2017-01-30,"Female",41,"Internal Revenue Service","40","10 Years","Fanti","Divorced","Yes","Child,Friends/roommates","3",1,0.296296296296296,0.407407407407407,NA,0.441176470588235
"study 1","Vanuatu","urban","local",99034,"Rsmith",2017-07-14,"Female",26,"Teller, Currency Exchange","Full Time","Full Life","Bislama, Santo, Namakura","Blokem gel (Engaged)","Yes","stret mama (Mother),gelfren o boyfren (Partner), brata o sista (Sibling(s))","Sunday, 2 Youth Meetings",1,0.519230769230769,0.384615384615385,1.33333333333333,0.764705882352941
"study 1","Thailand","urban","local",99035,"Faulino",2017-02-25,"Female",37,"Mom, Seller, Researcj","Viariable","19 Years","Northern And Central Thai","Married","Yes","Child,Spouse,Other relatives","1/month",0,0.461538461538462,0.423076923076923,0.916666666666667,0.529411764705882
"study 1","Vanuatu","rural","local",99036,"Rsmith",2017-08-17,"Male",40,NA,NA,"Whole Life","Sa","Maret finis (Married)","No schooling","sam pikinini (Multiple children),man o woman blong yu (Spouse)",NA,1,0.574074074074074,0.545454545454545,1.16666666666667,1
"study 1","US","urban","local",99037,"JBrahinsky",2018-03-29,"Male",26,"Teacher","43316","26","Eng","Married","Yes","Spouse","1",1,0.185185185185185,0.230769230769231,0.363636363636364,0.5
"study 1","US","rural","local",99038,"JBrahinsky",2017-04-26,"Female",36,"KnitwAre Designer/community Calendar","Unstable","22","Eng","Married","Yes","Spouse,Multiple children","1",0,0.333333333333333,0.36,0.333333333333333,0.529411764705882
"study 1","China","urban","charismatic",99039,"Emng",2017-04-20,"Female",34,"Administrative Consulting","Stable","6-7 Years","Mandarin","Single","Yes","Father,Mother","3",1,0.37037037037037,0.481481481481481,0.8,0.441176470588235
"study 1","Ghana","urban","charismatic",99040,"Jdulin",2017-01-30,"Male",31,"Ghana Audit Service","45","5","Ga","Married","Yes","Child,Spouse","2",1,0.62962962962963,0.592592592592593,1.36363636363636,0.5
"study 1","Vanuatu","rural","local",99041,"Rsmith",2017-08-17,"Male",50,NA,NA,"Wwhole Life","Sa Bunlap","Maret finis (Married)","No schooling","man o woman blong yu (Spouse),sam pikinini (Multiple children)",NA,1,0.8,0.695652173913043,1.45454545454545,NA
"study 1","Thailand","urban","local",99042,"Faulino",2017-03-11,"Female",28,"Unstable hours","Agricult Research","3 Years","Northeastern Thai","Single","Yes","Lives alone","5 X Year",0,0.407407407407407,0.105263157894737,1,0.735294117647059
"study 1","Ghana","rural","local",99043,"VDzokoto",2017-08-25,"Female",38,"Okomfo, Farmer, Retailer","8-3, 7 Days A Week","8 Years","Fante","Divorced Egyae aware","No Oho/ dabi","Multiple children Menye mbofra pii tse","2",1,0.518518518518518,0.461538461538462,1.41666666666667,0.5
"study 1","US","urban","charismatic",99044,"JBrahinsky",2018-03-21,"Female",37,"Officpe Mgr","630-4",NA,"Eng","Married","Yes","Multiple children,Spouse","2",0,0.62962962962963,0.666666666666667,0.916666666666667,0.264705882352941
"study 1","US","urban","local",99045,"JBrahinsky",2018-03-28,"Male",30,"Robitics Engineer","9-5+","5","Eng","Married","Yes","Spouse","0",0,0.222222222222222,0.25,0.636363636363636,0.558823529411765
"study 1","Ghana","urban","charismatic",99046,"Jdulin",2017-02-01,"Male",40,"Administration Medical","56","Born Here Went To Lond 12","Fanti","Married","Yes","Child","3",1,0.461538461538462,0.481481481481481,1.5,0.333333333333333
"study 1","China","rural","local",99047,"Emng",2017-08-18,"Male",34,"Chinese Medical Massage","Regular","Born And Raised","Henanese","Married","Yes","Child,Spouse","Not Weekly",1,0.76,1,1.81818181818182,0.735294117647059
"study 1","Vanuatu","urban","charismatic",99048,"Rsmith",2017-04-04,"Female",36,"Housewife","N/a","12y","Nakanamanga, Tongoa. Emae","Maret finis (Married)","No","man o woman blong yu (Spouse),sam pikinini (Multiple children),aotsaet family (Other relatives)","3",1,0.557692307692308,0.5,0.818181818181818,0.147058823529412
"study 1","US","urban","local",99049,"JBrahinsky",2017-10-08,"Female",55,"Teacher","43286","23","Eng","Married","Yes","Spouse","1",1,0.425925925925926,0.461538461538462,0.3,0.911764705882353
"study 1","Vanuatu","urban","charismatic",99050,"Rsmith",2017-07-14,"Female",60,"Not Working","N/a","5 Months","Nakanamanga","Maret finis (Married)","No","man o woman blong yu (Spouse),sam pikinini (Multiple children)","Everyday",1,0.907407407407407,0.851851851851852,1,0.617647058823529
"study 1","China","urban","charismatic",99051,"Emng",2017-03-26,"Female",39,"Entrepreneur Coaching","Unstable But Full Time","Born And Raised","Shanghainese","Married","Yes","Partner,Mother,Father","2",1,0.592592592592593,0.703703703703704,0.5,0.676470588235294
"study 1","China","rural","charismatic",99052,"Emng",2017-05-06,"Male",69,"Farmer","Unstable","Born And Raised","Henan Dialect","Married","No","Spouse,Other relatives","1",0,0.346153846153846,0.48,0.25,0.411764705882353
"study 1","US","urban","local",99053,"JBrahinsky",2017-10-07,"Female",48,"Physicsl Therapist","M,f 5 Hrs","15","Eng","Married","Yes","Multiple children,Spouse","0.7",1,0.296296296296296,0.32,1,0.529411764705882
"study 1","Thailand","urban","charismatic",99054,"Faulino",2017-02-20,"Male",19,"Unstable hours","Soap Business Personal","Entire Life","Thai","Single","Yes","Lives alone","3",0,0.351851851851852,0.44,0.666666666666667,0.676470588235294
"study 1","Vanuatu","urban","local",99055,"Rsmith",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.62962962962963,1.27272727272727,0.823529411764706
"study 1","Ghana","urban","local",99056,"Jdulin",2017-04-28,"Male",30,"Traditionalist","9","15","Fante","Single","No","Mother,Friends/roommates,Partner","6",1,0.62962962962963,0.653846153846154,1.66666666666667,0.794117647058823
"study 1","US","rural","charismatic",99057,"JBrahinsky",2017-02-17,"Female",39,"Student","All Day Every Day Hiurs A","30 Years","Spanish","Married","Yes","Spouse,Multiple children,Sibling(s),Other relatives","3",1,0.444444444444444,0.444444444444444,1.72727272727273,0.617647058823529
"study 1","Vanuatu","rural","charismatic",99058,"Rsmith",2017-09-10,"Female",74,"Garden",NA,NA,"Efate, Emao- Nakanamanga","Wido (Widowed)","No","brata o sista (Sibling(s))","Sunday",1,0.895833333333333,0.76,0.727272727272727,0.705882352941177
"study 1","US","rural","charismatic",99059,"JBrahinsky",2017-02-17,"Female",53,"Case Rec Tech At Prison","43286","17","English","Divorced","Yes","Child","2",0,0.259259259259259,0.269230769230769,0.25,0.696969696969697
"study 1","US","urban","local",99060,"JBrahinsky",2018-03-29,"Female",24,"Nannying","20/wk","13","Tongan/ English","Single","Yes","Mother,Father","1",0,0.240740740740741,0.269230769230769,0.75,0.5
"study 1","US","urban","local",99061,"JBrahinsky",2017-10-07,"Male",46,"Med Rec Tech","43348","46","Eng","Single","Yes","Lives alone","1",1,0.111111111111111,0.173913043478261,0.583333333333333,0.823529411764706
"study 1","Thailand","urban","charismatic",99062,"Faulino",2017-02-21,"Male",23,"Unstable hours","Study, Night Hotel Recept","5 Years","Thai","Single","Yes","Lives alone","5",1,0.481481481481481,0.333333333333333,0.916666666666667,0.24
"study 1","Ghana","rural","charismatic",99063,"VDzokoto",2017-07-15,"Female",43,"Selling","14 hours","34 years","Ga, Fante, (a Liberian Language)","Married Ana aware","No Oho/ dabi","Multiple children Menye mbofra pii tse","3",1,0.407407407407407,0.384615384615385,0.666666666666667,0.411764705882353
"study 1","Ghana","urban","local",99064,"Jdulin",2017-08-10,"Female",36,"Komfo","13hours","15","Fante","Divorced","No","Child","6",0,0.185185185185185,0.222222222222222,2.33333333333333,0.970588235294118
"study 1","Thailand","urban","local",99065,"Faulino",2017-06-08,"Female",21,"Unstable hours","Student And Bookstore","3 Years","Northeastern Thai","Single","Yes","Lives alone","Many Throughout Year",0,0.518518518518518,0.538461538461538,1.83333333333333,0.852941176470588
"study 1","China","urban","charismatic",99066,"Emng",2017-03-26,"Female",26,"Advertising","Stable","Born And Raised","Shanghainese","Single","Yes","Mother,Father","2",1,0.574074074074074,0.5,0.416666666666667,0.941176470588235
"study 1","China","urban","local",99067,"Emng",2017-01-09,"Male",39,"Company Staff","Night/day Flip Regularly","Born And Raised","Shanghainese","Divorced","Yes","Multiple children","One",0,0.462962962962963,0.538461538461538,1,0.823529411764706
"study 1","China","rural","charismatic",99068,"Emng",2017-04-26,"Female",60,"Farmer","Unstable","Grew Up Here","Henan Dialect","Married","No","Other relatives","3",0,0.388888888888889,0.6875,0.454545454545455,0.176470588235294
"study 1","Ghana","urban","charismatic",99069,"Jdulin",2017-02-19,"Male",28,"Training Pastor","60","8 Months","Ewe","Single","Yes","Friends/roommates,Lives with over 5 people","2 Or 3",1,0.692307692307692,0.769230769230769,1.5,0.515151515151515
"study 1","Ghana","rural","local",99070,"VDzokoto",2017-07-13,"Male",35,"Okomfo And Farmer","Varies","20 Years","Fante, Some English","Widowed Woho kafo efi mu","No Oho/ dabi","Other relatives Ebusuafo","Daily",1,0.777777777777778,0.692307692307692,2,0.735294117647059
"study 1","Thailand","urban","local",99071,"Faulino",2017-06-13,"Male",38,"Unstable hours","Communications","20+ Yrs","Thai C And Northern","Single","Yes","Mother,Father","Daily Home Practice",0,0.48,0.44,1.16666666666667,0.676470588235294
"study 1","Ghana","urban","local",99072,"Jdulin",2017-04-28,"Female",30,"Traditionalist","7","14","Fante","Married","No","Multiple children,Mother,Sibling(s)","When Necessary",1,0.481481481481481,0.636363636363636,2.83333333333333,0.970588235294118
"study 1","Vanuatu","urban","charismatic",99073,"Rsmith",2017-03-14,"Male",21,"Unemployed","N/a","3y","Santo, Southwest","Singel (Single)","Yes","i bitim 5 (Lives with over 5 people),"" sam fren (olsem ol fren long skul) [Friends, like school friends] (Friends/roommates)""","Sunday, Evening Devotion",1,0.592592592592593,0.5,1.4,0.794117647058823
"study 1","Ghana","rural","local",99074,"VDzokoto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.409090909090909,1.16666666666667,0.764705882352941
"study 1","Vanuatu","urban","charismatic",99075,"Rsmith",2017-05-06,"Male",23,"Construction","Normal","3y","Tanna Nehwal","Singel (Single)","No","brata o sista (Sibling(s)),sam pikinini (Multiple children),i bitim 5 (Lives with over 5 people)","Sunday, Youth Meetings",0,0.407407407407407,0.384615384615385,0.75,0.764705882352941
"study 1","Ghana","urban","charismatic",99076,"Jdulin",2017-03-03,"Male",40,"Manager Of Telecomm Company, Real Estate","40","22 Years","Fante And Ewe","Married","Yes","Child,Spouse","3",1,0.351851851851852,0.37037037037037,0.25,0.0882352941176471
"study 1","US","rural","charismatic",99077,"JBrahinsky",2017-02-21,"Male",30,"Farm- Missions","37419","30 Yr","Eng","Married","Yes","Spouse,Multiple children","1",0,0.555555555555556,0.538461538461538,0.5,0.205882352941176
"study 1","Thailand","urban","local",99078,"Faulino",2017-03-12,"Female",27,"Unstable hours","Student Researcher","12 Years","Central Thai","Single","Yes","Mother","Now More Weekly At Home, Convenience Wat",1,0.596153846153846,0.44,1.3,0.764705882352941
"study 1","Ghana","rural","charismatic",99079,"VDzokoto",2017-08-13,"Male",31,"Driver","6am - 6 Or 7 Pm","25 Years","Fante, English","Married Ana aware","Yes Nyew","Spouse Menye me kum/yer","3",1,0.326923076923077,0.346153846153846,1.58333333333333,0.382352941176471
"study 1","China","rural","charismatic",99080,"Emng",2017-04-02,"Female",37,"Credit Union Staff","Stable","Most Of Her Life","Henan Dialect","Married","No","Spouse,Multiple children,Other relatives","3",1,0.314814814814815,0.666666666666667,1,0.382352941176471
"study 1","US","urban","charismatic",99081,"JBrahinsky",2017-05-11,"Female",39,"Physician Liason","830-5","35","Eng/tagalog","Single","Yes","Lives alone","43163",1,0.481481481481481,0.64,1.83333333333333,0.705882352941177
"study 1","Ghana","urban","charismatic",99082,"Jdulin",2017-02-11,"Male",27,"Marketer, Clothing Distributor","10","27","Fante","Single","Yes","Friends/roommates","7 Days",1,0.703703703703704,0.703703703703704,1.66666666666667,0.617647058823529
"study 1","Thailand","urban","charismatic",99083,"Faulino",2017-06-20,"Female",23,"Unstable hours/stable","Student And Service","5 Years","Northern Thai","Single","Yes","Sibling(s)","5",1,0.592592592592593,0.461538461538462,0.833333333333333,0.823529411764706
"study 1","Vanuatu","rural","charismatic",99084,"Rsmith",2017-06-13,"Male",32,"Chief, Farmer","N/a","Full Life","Full Life","Blokem gel (Engaged)","Yes","gelfren o boyfren (Partner),wan pikinini (Child),stret mama (Mother)","2+",1,0.481481481481481,0.444444444444444,1.18181818181818,0.617647058823529
"study 1","China","rural","charismatic",99085,"Emng",2017-05-06,"Female",64,"Farmer","Unstable","Born And Raised","Henan Dialect","Married","No","Spouse,Other relatives","2",0,0.346153846153846,0.454545454545455,0,0.382352941176471
"study 1","US","rural","local",99086,"JBrahinsky",2017-04-06,"Male",40,"School Principal","8-430","27","Eng","Married","Yes","Spouse,Multiple children","0.25",1,0.037037037037037,0.04,0.166666666666667,0.558823529411765
"study 1","Ghana","rural","charismatic",99087,"VDzokoto",2017-07-27,"Male",28,"Electrician","5 Hours","12 Years","Fante , Twi, English","Single","Yes Nyew","Mother Maame (nna)","3",1,0.333333333333333,0.37037037037037,1,0.705882352941177
"study 1","Thailand","urban","charismatic",99088,"Faulino",2017-03-02,"Female",38,"Water Business","9-5?, But Day Interview","From Lamphun, Close","Central Thai","Divorced,Engaged","Yes","Child,Mother,Father,Grandparent(s),Lives with over 5 people","3",1,0.222222222222222,0.230769230769231,1.33333333333333,0.911764705882353
"study 1","Vanuatu","urban","local",99089,"Rsmith",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.52,1.41666666666667,0.676470588235294
"study 1","Vanuatu","rural","local",99090,"Rsmith",2017-08-18,"Male",70,NA,NA,"Whole Life","Sa","Maret finis (Married)","No schooling","man o woman blong yu (Spouse),sam pikinini (Multiple children)",NA,1,0.615384615384615,0.625,1,0.794117647058823
"study 1","China","rural","local",99091,"Emng",2017-08-12,"Female",71,"Farmer","Unstable","Borm And Raised","Henanese","Married","No","Other relatives,Child","Only When Something To Deal With",0,0.56,0.695652173913043,0.636363636363636,0.676470588235294
"study 1","Thailand","rural","charismatic",99092,"Faulino",2017-04-06,"Female",54,"Unstable hours","Not Working","All Life","Northern","Widowed","No","Lives alone","3x",0,0.481481481481481,0.52,0.909090909090909,0.529411764705882
"study 1","US","urban","charismatic",99093,"JBrahinsky",2017-05-11,"Male",33,"Youth Non Profit Dir","43411","33","Eng","Married","Yes","Spouse,Multiple children","43134",0,0.444444444444444,0.478260869565217,0.166666666666667,0.441176470588235
"study 1","Ghana","urban","local",99094,"Jdulin",2017-06-06,"Female",37,"Housewife","40","28","Twi","Married","Yes","Lives alone","Before Weekly Now Never",0,0.481481481481481,0.444444444444444,1.41666666666667,NA
"study 1","China","rural","charismatic",99095,"Emng",2017-05-02,"Female",46,"None","None","Born And Raised","Henan Dialect","Married","No","Spouse,Multiple children","2",0,0.685185185185185,0.703703703703704,0.0909090909090909,0.441176470588235
"study 1","Thailand","urban","local",99096,"Faulino",2017-08-08,"Other",53,"Unstable hours","Hair & SpiritMedium","Life","N Thai","Single","Yes","Lives alone","2x/month",NA,0.608695652173913,0.636363636363636,1.5,0.676470588235294
"study 1","US","rural","charismatic",99097,"JBrahinsky",2017-04-26,"Male",43,"Teacher High School","730-330","22","Eng","Married","Yes","Spouse,Multiple children","1",0,0.425925925925926,0.481481481481481,0.363636363636364,0.529411764705882
"study 1","Vanuatu","urban","local",99098,"Rsmith",2017-02-20,"Female",42,"Haosgel","40 Hr","20","Malakula, Southwest Bay","Maret finis (Married)","Yes","man o woman blong yu (Spouse),sam pikinini (Multiple children)","Sunday, Weds",0,0.259259259259259,0.259259259259259,0.909090909090909,0.970588235294118
"study 1","Thailand","rural","local",99099,"Faulino",2017-04-12,"Male",27,"Unstable hours","Thai Amway","From CD","Northern","Single","Yes","Sibling(s),Mother,Father",NA,0,0.722222222222222,0.608695652173913,1.5,0.705882352941177
"study 1","Vanuatu","rural","local",99100,"Rsmith",2017-04-30,"Male",38,"Councillor, Not Regular","N/a","Around 20y","Sa","Maret finis (Married)","Yes","man o woman blong yu (Spouse),sam pikinini (Multiple children)","N/a",1,0.519230769230769,0.576923076923077,0.666666666666667,0.911764705882353
"study 1","China","rural","local",99101,"Emng",2017-08-18,"Female",60,"None",NA,"Born And Raised","Henanese","Married","No","Child",NA,1,0.52,0.863636363636364,NA,NA
"study 1","Ghana","urban","local",99102,"Jdulin",2017-04-27,"Male",65,"Retiree","0","65","Fante","Married","No","Spouse","Yeary And When Necessary",1,0.185185185185185,0.222222222222222,1.16666666666667,0.676470588235294
"study 1","Thailand","urban","charismatic",99103,"Faulino",2017-05-05,"Female",22,"Unstable hours","Student","3 Years, Fam From Here","Northern And Thai","Single","Yes","Grandparent(s),Other relatives","4",1,0.574074074074074,0.48,2,0.970588235294118
"study 1","Thailand","urban","local",99104,"Faulino",2017-06-21,"Male",49,"Unstable hours","Professor","10 Years","Isaan Thai","Married","Yes","Child,Spouse",NA,NA,0.407407407407407,0.3,NA,0.617647058823529
"study 1","Thailand","urban","charismatic",99105,"Faulino",2017-02-16,"Female",34,"Freeland Media Specialist","Free But Regular","1 Year","Thai","Married","Yes","Lives alone","4",1,0.462962962962963,0.37037037037037,0.818181818181818,0.617647058823529
"study 1","China","urban","local",99106,"Emng",2017-01-09,"Male",33,"Software Engineer","Stable","9 Years","Hebei Dialect","Married","Yes","Spouse,Multiple children,Mother","Less Than Weekly",0,0.0740740740740741,0.0833333333333333,1,0.470588235294118
"study 1","Ghana","rural","charismatic",99107,"VDzokoto",2017-08-02,"Female",32,"Sells Onions","M,tu,th,fri 7-10 Am, W 6:30 -5 Pm","20 Years","Fante","Single","Yes Nyew","Multiple children Menye mbofra pii tse","2",1,0.444444444444444,0.37037037037037,0.833333333333333,0.852941176470588
"study 1","US","rural","local",99108,"JBrahinsky",2017-04-25,"Female",47,"Pharmacist","8/dy","14","Korean","Married","Yes","Spouse,Child","1",0,0.314814814814815,0.307692307692308,1.08333333333333,0.294117647058824
"study 1","Ghana","rural","local",99109,"VDzokoto",2017-07-16,"Male",54,"Okomfo, Farmer","Varies","54 Years","Fante, English","Married Ana aware","Yes Nyew","Multiple children Menye mbofra pii tse","0",1,0.574074074074074,0.5,1.58333333333333,0.676470588235294
"study 1","Ghana","rural","local",99110,"VDzokoto",2017-08-18,"Female",23,"Trainee Bosomfo/ Petty Trader","4 Hours","10 Years","Fante","Married Ana aware","No Oho/ dabi","Other relatives Ebusuafo","6",1,0.351851851851852,0.37037037037037,1.58333333333333,0.617647058823529
"study 1","US","rural","local",99111,"JBrahinsky",2017-04-26,"Male",47,"Elementary School Teacher","730-330","22","Eng","Married","Yes","Spouse,Multiple children","1",1,0.259259259259259,0.222222222222222,1.16666666666667,0.382352941176471
"study 1","Thailand","rural","local",99112,"Faulino",2017-04-22,"Female",36,"Unstable hours","House And Teach","30+ Years","Northern Thai","Married","Yes","Spouse,Mother","1x Year",0,0.111111111111111,0.04,0.916666666666667,0.647058823529412
"study 1","Ghana","urban","local",99113,"Jdulin",2017-06-02,"Male",25,"Traditionalist","6","25","Fante","Single","No","Lives alone","Everyday",1,0.481481481481481,0.56,2.33333333333333,0.794117647058823
