"study","country","religion","subject_id","order_cb","interviewer","language","subject_gender","subject_age","subject_ethnicity","subject_afford","subject_ses","subject_occupation_parent","subject_occupation","subject_education","subject_education_text","subject_urban_rural","subject_religion","subject_religion_parent","subject_religiosity","subject_church","subject_tongues1","subject_tongues2","spev_score","por_score"
"study 2","US","general population",10394,1,"Amy","English","Female",22,"Caucasian",0,-1,"Mom: Accountant, Step-dad: car mechanic","student","Some college",NA,"Urban","Christianity, nondenominational","none",2,"don't attend church, Bible study in private study",0,0,0.55,0.625
"study 2","US","general population",10395,1,"Amy","English","Male",33,"White",1,1,"Lawyer & Retired Teacher","Engineer","Masters degree",NA,"Rural","Missing Data","Missing Data",-2,"Missing Data",1,1,0.0526315789473684,0
"study 2","US","general population",10396,1,"Amy","English","Male",32,"white",1,2,"engineer & nurse","game designer","Bachelors degree",NA,"Urban","Baptized, but nothing in memory","Not anything",-2,"N/A",1,1,0.05,0
"study 2","US","general population",10397,1,"Amy","English","Male",36,"Asian & White",1,0,"Mom: Educator, Dad: Doctor","Educator","Masters degree",NA,"Urban","Nothing specific, grew up ""half-assed catholic""","None",0,"None",1,1,0.1,0.0625
"study 2","US","general population",10398,1,"Amy","English","Female",22,"Chinese",1,0,"Mom: Physician, Dad: Research prof.","operations assoc. @ startup","Bachelors degree",NA,"Urban","None","None",-1,"mdata",1,1,0.2,0.15625
"study 2","US","general population",10399,1,"Amy","English","Female",38,"Half Salvadorean & American",1,0,"Police dispatcher, Electric engineer","Probation officer","Bachelors degree",NA,"Urban","Christian","Christian",2,"Cornerstone Church SF",1,1,0.315789473684211,0.5
"study 2","US","general population",10400,1,"Amy","English","Male",33,"Black, Caribbean American",1,1,"Mom: Nurse, Dad: Mechanic","financial consultant",NA,NA,"Urban","Christianity","Mom: Christian, Dad: Catholic",1,"Reveal and Truth Church (in Miami)",1,1,0.4,0.4375
"study 2","US","general population",10401,1,"Amy","English","Female",58,"White",1,0,"Mother: did billing, Dad: was seaman","Secretary","Some college",NA,"Urban","Catholicism","Catholicism",0,"One in Belmont",1,1,0.1,0.25
"study 2","US","general population",10402,1,"Amy","English","Male",60,"White",1,0,"deceased","healthcare","Bachelors degree",NA,"Urban","don't","Jewish",-1,"mdata",1,1,0,0.21875
"study 2","US","general population",10403,1,"Amy","English","Female",21,"White",1,0,"Mom: Teacher's aid, Dad: President of college","Student","Some college",NA,"Urban","Catholicism","Catholicism",1,"Mt. Carmel",1,1,0.05,0.375
"study 2","US","general population",10404,1,"Amy","English","Male",22,"White",1,-1,"Mom: paralegal, Dad: Military","ballroom dancing teacher","Bachelors degree",NA,"Rural","Christianity","same",1,"don't",1,1,0.25,0.40625
"study 2","US","general population",10405,1,"Amy","English","Female",22,"Indian",0,-2,"Mom: Preschool teacher,  Dad: Software engineer","unemployed, artist, freelance work events","Bachelors degree",NA,"Rural","Reading into hinduism, Chinese medicine interesting, Celtic stuff","Hinduism",-2,"PRABASHI - Bengali outside Calcuta",0,0,0.421052631578947,0.566666666666667
"study 2","US","general population",10406,1,"Amy","English","Male",35,"Mixed",1,1,"Mom: Dental asst, Dad: Nurse","student","Some college",NA,"Rural","None","Mom: None, Dad: Jehovah witness",-1,"No",1,1,0.375,0.03125
"study 2","US","general population",10407,1,"Amy","English","Male",26,"White",0,-1,"Both passed away","Barista",NA,NA,"Urban","Determinism - philosophy","Catholic - Mom grew up, didn't keep",-1,"None",0,0,0.05,0
"study 2","US","general population",10408,1,"Amy","English","Male",45,"White",1,-1,"Mom: homemaker -> secretary, Dad: electrical engineering -/ defense contractor","substitute school teacher & park ranger","Bachelors degree",NA,"Rural","No","mdata",-2,"mdata",1,1,0.05,0.03125
"study 2","US","general population",10409,1,"Amy","English","Male",25,"Mixed - Hispanic / Italian",1,0,"Mom: Dentist, retired","Chimney sweep",NA,NA,"Urban","Don't believe in religion. Mom raised Catholic, christian spirit, then stopped","Mom: Catholicism",2,"St. Joseph Church",1,1,0.55,0.40625
"study 2","US","general population",10410,1,"Amy","English","Male",47,"mdata",0,-2,"Mom: Pharmacy technician, Dad: Accounting","unemployed","Some college",NA,"Rural","Christian, raised Catholic","None, used to be Catholic",2,"Church of God & Christ, Zion, 50/50",0,0,0,0.09375
"study 2","US","general population",10411,1,"Amy","English","Female",37,"White",1,0,"Mom: billing dept. Natural gas, Dad: look retired, didn't go to college","Chief of Staff, Head of robotics for X","Bachelors degree",NA,"Rural","Baptized Lutheran and confirmed but later left .Appreciates Buddhism but not religion connected to science.","Mom: Catholic, Dad: Loud Atheist",0,"None",1,1,0.05,0.03125
"study 2","US","general population",10412,1,"Amy","English","Male",59,"African American",1,0,"They did manual labor","Regional VP for software company","Bachelors degree",NA,"Urban","Christianity","Christianity",2,"Emmanuel Baptist",1,1,0.05,0.21875
"study 2","US","general population",10413,1,"Amy","English","Female",45,"Caucasian",1,-1,"Mom: Nurse, Dad: Southern Baptist Minister","Grant writing for non-profit","Some college",NA,"Rural","Don't","Baptist",1,"Missing Data",1,1,0.3,0.166666666666667
"study 2","US","general population",10414,1,"Amy","English","Male",51,"Hispanic",1,1,"phone co. (both retired)","work in warehouse","Bachelors degree",NA,"Urban","None","mdata",-1,"Methodist (parents tried to convince to join chuch)",1,1,0,0.03125
"study 2","US","general population",10415,1,"Amy","English","Female",29,"Chinese-American",1,1,"Mom: Small business owner (used to be a teacher) , Dad: Industrial designer","Operation Lead for You Tube","Masters degree",NA,"Urban","Grew up Catholic","Catholic",-1,"St. Augustine",1,1,0,0
"study 2","US","general population",10416,1,"Amy","English","Male",26,"Caucasian + sprinkling",1,0,"Sales (both)","Graphic designer","Bachelors degree",NA,"Urban","None","Mom: Catholicism, Dad: Some other kind of Christian, family born-agains, but new Easter-Xmas",-2,"None",1,1,0.15,0.09375
"study 2","US","general population",10417,1,"Amy","English","Male",52,"Caucasian",1,0,"Mom: works for school district, clerical, Dad: Finance for private company","Analyst for country","Masters degree",NA,"Rural","Catholicism","Catholicism",2,"St. Charles , but haven't been",1,1,0.25,0.625
"study 2","US","general population",10418,1,"Amy","English","Female",69,"White",1,1,"owned brewing company, both parents also worked in advertising","run store on square, sell line of costume jewelry, Asst. to Redwood City Downtown Business Group","Some college",NA,"Urban","Isn't any one religion when got off-track with drugs in 40's, Raised Presbyterian/Methodist, don't go to church everyday","Father raised Catholic, once left home, not so religious, Mom started going to church when she was born, made go to church until in high school",2,"N/A, don't attend",1,1,0.45,0.8125
"study 2","US","general population",10419,1,"Amy","English","Male",29,"Philipino",0,-1,"Mom: Pharmacist, Dad: Retired - was in hospitality","Part-time student, Full-time optical field","Some college",NA,"Urban","Catholicism","Catholicism",1,"Pt. Pious",0,0,0.2,0.59375
"study 2","US","general population",10420,1,"Amy","English","Male",24,"White",1,-1,"Both do same, each owns cleaning co.","Office Manager @ tech co.","Bachelors degree",NA,NA,"None, raised Catholic","parents Catholic",-1,"altar boy @ Catholic church, only attend if whole fam going",1,1,0,0
"study 2","US","general population",10421,1,"Amy","English","Male",25,"White",1,1,"Mom: Retired, Dad: VP Software engineering","CTO","Bachelors degree",NA,"Rural","Christianity, non-denominational, don't go to church but used to","Don't go to church either, but christianity. Grandfather Lutheran Pastor",1,"Non, used to go to Lutheran",1,1,0.15,0.0625
"study 2","US","general population",10422,1,"Amy","English","Female",56,"Anglo-Saxon",1,1,"educators","Fundraiser","Some college",NA,"Rural","don't","Unitarian (don't attend church)",0,"When very young, attended Unitarian, attended Catholic college, friends w nuns",1,1,0.236842105263158,0.125
"study 2","US","general population",10423,1,"Amy","English","Male",18,"Caucasian, Irish, Scottish",1,-2,"Mom: was drug & alcohol counselor before got sick","Server",NA,NA,"Urban","Don't. Read Bible, Quran, Buddhism, all talking about same thing, twisted by specifics of culture","Mom: Catholic",2,"When teenager (17), Calvary Chapel",1,1,0.45,0.6875
"study 2","US","general population",10425,1,"Lizzy","English","Female",31,"Anglo",1,0,"Other","Healthcare","Bachelors degree",NA,"Rural",NA,"Catholic",1,NA,1,1,0.15,0.21875
"study 2","US","general population",10426,1,"Lizzy","English","Male",20,"African American",1,NA,"Mom: Sales, Dad: Systems manager","Security guard","Some college",NA,"Rural","N/A","Mom: Christian, Dad: agnostic",-2,"N/A",1,1,0.05,0
"study 2","US","general population",10427,1,"Lizzy","English","Female",74,"Caucasian",1,2,"Mom: Housewife, Dad: Elevator owner","Airline reservation","Vocational school",NA,"Rural","Personal relationship w/ Jesus Christ","Christianity",2,"Peninsula Covenant",1,1,0.15,0.46875
"study 2","US","general population",10428,1,"Lizzy","English","Female",22,"White",1,1,"Physical therapist","Intern","Bachelors degree",NA,"Urban","N/A","Christian",-1,"X-mas eve w/ parents, doesn't attend regularly",1,1,0.2,0.1875
"study 2","US","general population",10429,1,"Lizzy","English","Female",84,"Missing Data",NA,NA,"Missing Data","Missing Data",NA,NA,NA,"Missing Data","Missing Data",NA,"Missing Data",NA,NA,0.1,0.25
"study 2","US","general population",10431,1,"Mark","English","Female",22,"Hispanic / Chinese",0,-2,"Entrepreneur / Artist","Student",NA,NA,"Urban","No","Missing Data",1,"Sometimes Catholic Church",0,0,0.15,0.392857142857143
"study 2","US","general population",10432,1,"Mark","English","Male",24,"Eastern European / Ashuenazil Jew",1,0,"Doctor/Scientist","Student Doctor",NA,NA,"Urban","Family - Orthodox Jew / Jewish","mdata",-1,"Not anymore, back home yes",1,1,0,0
"study 2","US","general population",10433,1,"Mark","English","Male",70,"White",0,-2,"Missing Data","Retired - Product Development (Toys/Icons/Graphics)",NA,NA,"Urban","Missing Data","Missing Data",-1,"Missing Data",0,0,0.05,0.214285714285714
"study 2","US","general population",10434,1,"Mark","English","Female",70,"White",0,-2,"mdata","Retired - Product Development (Toys / Icons / Graphics)",NA,NA,"Urban","mdata","mdata",-1,"mdata",0,0,0.05,0.214285714285714
"study 2","US","general population",10435,1,"Mark","English","Female",23,"White",1,-2,"Mom: Social worker, Dad: Lawyer","Tutor","Bachelors degree",NA,"Rural","No","Not currently, used to be Christian",-1,NA,1,1,0.05,0.0625
"study 2","US","general population",10436,1,"Mark","English","Female",45,"Arsatine?",1,2,"Airlines","SUP Finance",NA,NA,"Urban","Catholic","mdata",NA,"Sacred Heart (Tampa, FL)",1,1,0.25,0.642857142857143
"study 2","US","general population",10437,1,"Mark","English","Female",69,"White",1,0,"Mom: Dancer / Dance Teacher, Dad: Fire Insurance","Retired-Retail (chain store that sold baby products, working with online department stores)","Bachelors degree",NA,"Urban","No, spiritual","All Methodist, Practice in daily life, just don't go to church",1,"Don't",1,1,0.4,0.34375
"study 2","US","general population",10438,1,"Mark","English","Female",40,"Mom:Caucasian, Dad: Tibetan",1,1,"Mom: Public school Art teacher / Dad: Artist","Faculty @ Stanford","Other graduate degree",NA,"Urban","None","Mom: Many",1,"None",1,1,0.325,0.40625
"study 2","US","general population",10440,1,"Nikki","English","Male",32,"Caucasian",0,-1,"IT/Homemaker","Contractor","Bachelors degree",NA,"Rural","Agnostic","Catholicism",1,"None",0,0,0.2,0.5625
"study 2","US","general population",10441,1,"Noah","English","Male",21,"White (1/4 Native American)",0,-2,"Retired (truck driver + Day care lady)","Fish market","Some college",NA,"Urban",NA,"Missing Data",-1,"Missing Data",0,0,0,0
"study 2","US","general population",10442,1,"Noah","English","Male",21,"white",1,1,"Mom: mdata, Dad: Science","college student","Some college",NA,"Rural","believe in God","mdata",0,"N/A maintain Jewish beliefs",1,1,0,0.5
"study 2","US","general population",10443,1,"Norman","English","Male",84,"Polish / Slovak & Russian / German",1,-2,"Welder, Mom: windshield wiper factory; Anderson Co., Indiana Gary","Computer Repair, IBM Customer Engineer","Vocational school",NA,"Urban","None","Non-religious",NA,"No (Lutheran briefly 5 yrs for children)",1,1,0.05,0.2
"study 2","US","general population",10444,1,"Norman","English","Female",50,"Irish",1,-1,"Accountant + Homemaker","Office Admin","Bachelors degree",NA,"Rural","Not really","Catholic",-2,"None",1,1,0,0.125
"study 2","US","general population",10445,1,"Norman","English","Male",61,"Irish",0,-2,"Mom: Admin, Dad: Sales","Restaurant Manager","Some college",NA,"Rural","Baptist","Catholic",2,"Every Sunday, Bridges Community Church Los Altos",0,0,0.4,0.5625
"study 2","US","general population",10446,1,"Norman","English","Female",22,"Eastern European",1,-2,"Computer User Experience, Director","Cosmetologist","Some college",NA,"Rural","LDS Latter Day Saints","LDS",2,"LDS Middlefield Rd.",1,1,0.35,0.375
"study 2","US","general population",10447,1,"Norman","English","Male",52,"Mexican American, Hispanic",1,0,"Mom: Retail warehouseman","Sales Rep.","Bachelors degree",NA,"Urban","Catholic","Catholic",1,"St. Victors, San Jose",1,1,0,0.125
"study 2","US","general population",10448,1,"Norman","English","Male",27,"English-Scot",0,-1,"Mom: Dietician, Dad: Mechanical Engr.","Mechanical Engr.","Masters degree",NA,"Rural","None cultural LDS, grew up LDS","Mormon",0,"LDS",0,0,0.05,0
"study 2","US","general population",10449,1,"Norman","English","Female",24,"Scottish/Danish/German",0,-1,"Mom: Surgical Tech, Dad: Compliance for CHEVRON","Recreation Therapist","Bachelors degree",NA,"Urban","Culturally LDS","Grandma Episcopalian, parents LDS, but not now",0,"Missing Data",0,0,0.1,0.0625
"study 2","US","general population",10450,1,"Norman","English","Male",28,"German",0,-1,"Mom: Florist, Dad: Nuclear tech","Retail sales","Some college",NA,"Urban","No agnostic","Lutheran",0,"None",0,0,0.3,0.625
"study 2","US","general population",10451,1,"Norman","English","Male",24,"Swedish - Scottish - Slovak - English",0,-2,"Mom: Cleans, Dad: Woodworker","Missionary","Bachelors degree",NA,"Rural","Evangelical","Lutheran",2,"Church of Nazarene, Palo Alto",0,0,0.05,0.25
"study 2","US","general population",10452,1,"Norman","English","Male",23,"Persian",1,0,"Sales","Sales associate","Some college",NA,"Urban","None","None",-1,"None",1,1,0.1,0.53125
"study 2","US","general population",10453,1,"Norman","English","Female",23,"Italian + English",1,-2,"Mom: Fitness trainer, Dad: Animation director","Boon seller","Some college",NA,"Urban","None","Mom: Offshoot of Scientology, Dad: Atheist",-2,"Missing Data",1,1,0.05,0.03125
"study 2","US","general population",10454,1,"Norman","English","Female",32,"Afro - American",1,0,"Dad - welder","internship: Med Assistant","Vocational school",NA,"Urban","Christian Baptist","Baptist",2,"St. John's Baptist EPA",1,1,0.7,0.53125
"study 2","US","general population",10455,1,"Norman","English","Male",24,"Maltese, Italian, German, Irish",0,0,"Drafter","Sales assoc. + English tutor","Bachelors degree",NA,"Urban","None","Catholic",1,"Missing Data",0,0,0.05,0.40625
"study 2","US","general population",10456,1,"Norman","English","Male",69,"Mom: German, Dad: English",1,-1,"inheritance","Retired Furniture Restorer","Bachelors degree",NA,"Urban","None","Mom: Christian, Dad: Atheist",0,"No",1,1,0.1,0.21875
"study 2","US","general population",10458,1,"Sarah","English","Female",32,"Latina",1,0,"Mom: house manager for wealthy family, Father: was in freight forwarding","Real Estate Assistant","Bachelors degree",NA,"Urban","No","Mom: Jehovah's witness, Dad: Agnostic/atheist",-2,"mdata",1,1,0.35,0.03125
"study 2","US","general population",10460,1,"Sarah","English","Male",55,"Cauc.",1,0,"Mom: Librarian, Dad: Civ. engineer","Review financial reports","Masters degree",NA,"Urban","Roman Catholic","Roman Catholic",2,"St. Brendan's - Portola Dr. nr. Mt. Davidson",1,1,0.15,0.375
"study 2","US","general population",10461,1,"Sarah","English","Female",28,"White / Persian background",1,-1,"Mom: Retired housecleaner, Dad: Businessman self employed, Dry cleaners, Auto glass, Teacher of Astronomy and Chemistry","Biotic skin care sales associate + bartender","Masters degree",NA,"Urban","Interested in witchcraft + nature spirituality but no practice.","No but raised Catholic, father raised Muslim.",2,"CIIS - did courses-wilderness rites of passage + indigenous traditions + ecotherapy",1,1,0.35,0.28125
"study 2","US","general population",10462,1,"Sarah","English","Female",27,"Vietnamese",0,-1,"Mom: Builds robot parts for surgery, Dad: Comp engineer","Photography (freelance)",NA,NA,"Rural","No (ex - JW) Partner Christian - Possibly Korean Baptist","JW (both)",0,"Parents attend - JW Church Milpitas (Vietnamese)",0,0,0.05,0.3125
"study 2","US","general population",10463,1,"Sarah","English","Male",41,"White / Caucasian",1,1,"Mom: Retired school district-managed school lunch programs, Dad: Retired school teacher, army","Usually manager of tech team (developer lead). Currently not working + caring for daughter, rebuilding a house.","Bachelors degree",NA,"Rural","Agnostic Atheist. Believes cannot know if creator exists.","Methodist - grew up generic protestant",-2,"No, parents at Methodist Church",1,1,0.1,0
"study 2","US","general population",10464,1,"Sarah","English","Male",74,"""Honky"" White Anglo-Saxon Catholic",0,-2,"Mom: 5 sons. Worked at department store, Dad: Herts rent a car automaintenance supervisor","Unemployed/Retired","Bachelors degree",NA,"Urban","Catholic","Catholic + Dad would wear yamaca at Jewish funerals",2,"Lady of Mount Carmel, Redwood City",0,0,0.1,0.59375
"study 2","US","general population",10465,1,"Sarah","English","Female",25,"Mixed - White/Black/Mexican",0,-1,"Mom: Stay at home, returned to school, no nurse, Dad: entrepreneur, food truck, coach for Mountain View","Junior college- Child development + psych","Bachelors degree",NA,"Rural","No","None - Great grandparents JN/Christian",1,"Twice a year at most. Kingdom Hcll JN, Patterson, CA (Support family)",0,0,0.15,0.1875
"study 2","US","general population",10466,1,"Sarah","English","Other",19,"""Exotic"" Mexican-American",0,-2,"Mom: Never worked. possibly prostitute, Dad: Handyman/mechanic. illegal immigrant","Unemployed",NA,NA,"Urban","No","Both are Christian (Catholic | was Baptised)",2,"Her body is her temple. Goes to nature",0,0,0.85,0.78125
"study 2","US","general population",10470,1,"Sean","English","Male",64,"Mexican American",1,0,"Steelworker & housewife","Disability (used to be counselor family / personal)","Some college",NA,"Rural","although does have convos w/ God","Roman Catholic",2,"N/A",1,1,0.4,0.03125
"study 2","US","general population",10471,1,"Sean","English","Male",32,"White-Italian",0,-1,"mom: Graphic Artist, Dad: Dealership Driver","Student","Masters degree",NA,"Rural","Catholic","Catholic",2,"Missing Data",0,0,0.05,0
"study 2","US","general population",10472,1,"Sean","English","Male",63,"Caucasian/White",1,0,"Mom: IRS, Dad: Plant Engineer","currently Doordash, previous army","Some college",NA,"Urban","N/A","Catholic",-2,"N/A",1,1,0.1,0.03125
"study 2","US","general population",10473,1,"Sean","English","Female",67,"Caucasian",0,0,"Mom: Farmer, Dad: Farmer","Senior manager, home place designs communication","Bachelors degree",NA,"Rural","Presbyterian","Methodist",1,"Covenant Presbyterian",0,0,0,0.25
"study 2","US","general population",10474,1,"Sean","English","Male",55,"White/Jewish",1,-1,"Mom: Chemist, Dad: Civil Engineer","Quality engineer","Masters degree",NA,"Urban","Nonpracticing, ethnically Jewish","Non practicing",-2,NA,1,1,0.05,0
"study 2","US","general population",10475,1,"Sean","English","Male",69,"White",1,-1,"Mom: Linguist Education, Dad: Principal","Retired","Bachelors degree",NA,"Rural","Episcopalian","Mom: Episcopalian, Dad: Agnostic",2,"Trinity Church",1,1,0.45,0.28125
"study 2","US","general population",10476,1,"Sean","English","Female",49,"Caucasian/White",1,0,"Mom: Homemaker, Dad: Human Resources","Retired","Bachelors degree",NA,"Urban","Methodist","Catholics",0,"Los Altos United Methodist",1,1,0.05,0.09375
"study 2","US","general population",10477,1,"Shantell","English","Male",58,"Mexican",0,-1,"Savois + Bakery","Nothing / Casino for 22 Reno",NA,NA,"Rural","A little Catholicism, pray Jesus","Spirituality + Understanding of God",1,"None",0,0,0.4,0.59375
"study 2","US","general population",10478,1,"Shantell","English","Female",28,"Chinese-American",1,-2,"Mom: homemaker, business owner","Analyst","Bachelors degree",NA,"Rural","None","None",-1,"None",1,1,0.1,0.03125
"study 2","US","general population",10501,2,"Amy","English","Male",39,"Latino",1,0,"work in co. making plastic cups","Executive chef","Some college",NA,"Urban","no","Catholic, Dad jehovah's, uncle pentecostal",0,"currently no",1,1,0,0
"study 2","US","general population",10502,2,"Amy","English","Male",52,"White",1,0,"Mom: Housewife, Dad: Physician","Software program manager",NA,NA,"Rural","No religion","Missing Data",-2,"Missing Data",1,1,0,0
"study 2","US","general population",10503,2,"Amy","English","Female",19,"South East Asian Indian",1,-1,"Mom: dentist, Dad: is sales","Students",NA,NA,"Rural","Hinduism","mdata",1,"once year visit temple - in house",1,1,0,0
"study 2","US","general population",10504,2,"Amy","English","Male",35,"White",1,2,"Journalist + Professor @ Stanford","HR","Bachelors degree",NA,"Urban","none","Unitarian",-1,"Missing Data",1,1,0.05,0.0625
"study 2","US","general population",10505,2,"Amy","English","Female",24,"Hispanic",0,0,"Mom: works @ dry cleaner, Dad: construction worker","student full-time @ stanford hospital","Some college",NA,"Rural","Catholic","Catholic",1,"don't",0,0,0.15,0.28125
"study 2","US","general population",10506,2,"Amy","English","Female",56,"White",1,1,"Mom: a Bank, Dad: Finance","HR exec","Masters degree",NA,"Rural","Christianity","Christianity",1,"Menlo Church",1,1,0.45,0.15625
"study 2","US","general population",10507,2,"Amy","English","Male",44,"Chinese",1,1,"electricity","software dev","Bachelors degree",NA,"Urban","none","Buddhism",-1,"mdata",1,1,0.263157894736842,0.1875
"study 2","US","general population",10508,2,"Amy","English","Male",31,"Latino",1,0,"Mom: Retail, Dad: Construction","City planner","Bachelors degree",NA,"Urban","Catholic 5 times a year, don't study bible but large part of family make up.","Catholicism",-1,"St. Peters Catholic Church in City",1,1,0.15,0.0625
"study 2","US","general population",10509,2,"Amy","English","Male",32,"Mixed everything (White) - just not Africa",1,-1,"Mom: Data extraction, Dad: Retail manager","package handler, FedEx","Some college",NA,"Rural","don't","Christian, Protestant",2,"stopped @ Buddhist, stopped @ churches, wanted to talk to priest",1,1,0.35,0.15625
"study 2","US","general population",10510,2,"Amy","English","Female",71,"English/Irish/Scottish/Italian",1,0,"Mom: manufacturing / circuit board, Dad: Didn't meet father - Manufacturing","Retired from probation","Some college",NA,"Rural","None","Mother was first Congregationalist",0,"Missing Data",1,1,0.3,0.09375
"study 2","US","general population",10511,2,"Amy","English","Female",31,"White",1,0,"Mom: Business admin, Dad: Software eng.","Scientist","Bachelors degree",NA,"Rural","Christianity","Mom: Christian, Dad: Catholic",1,"Don't, sometimes go w/ mom or dad when go",1,1,0.15,0.25
"study 2","US","general population",10512,2,"Amy","English","Male",55,"Chinese-american",1,0,"Mom: Payroll USGS / stay at home, Dad: Electrical engineer","Civil engineer for San Mateo","Bachelors degree",NA,"Urban","Don't subscribe to religion but don't have problem going to church, spirituality more important.","No. Dad liked to go to Spanish speaking church after got cancer.",1,NA,1,1,0.05,0.0625
"study 2","US","general population",10513,2,"Amy","English","Male",47,"Northern European",1,0,"dentist & social worker","consultant","Masters degree",NA,"Rural","don't, used to practice Christianity","same",1,"Fellowship, Daily practice of principle",1,1,0.4,0.266666666666667
"study 2","US","general population",10514,2,"Amy","English","Male",39,"White",1,0,"Mom: Librarian, Dad: Programmer","Freelance music & tech","Some college",NA,"Urban","None. Grew up with protestant christianity","Protestant christianity",-1,"Congregationalist",1,1,0.15,0.15625
"study 2","US","general population",10515,2,"Amy","English","Female",49,"Eastern European White",1,-1,"Mom: Housewife, Dad: truck driver","Work @ bank","Masters degree",NA,"Urban","don't, Jewish, but don't practice","don't, brother in religious household, father did not",1,"religious family or mom's side",1,1,0,0.21875
"study 2","US","general population",10516,2,"Amy","English","Female",43,"Jewish",1,1,"Mom: Interior designer, Dad: Ran clothing factories, teachers","Strategic partnership in marketing & events","Masters degree",NA,"Rural","Don't believe but would practice Judaism","Judaism",-2,"No",1,1,0.2,0.15625
"study 2","US","general population",10517,2,"Amy","English","Female",43,"black",1,0,"Mom: after-school academic enrichment social worker, Dad: professor, retired racial justice advocacy","public policy","Other graduate degree",NA,"Rural","Catholicism","Mom: both used to be Catholic, Dad: now United Church of Christ",2,"Our Lady of Rosary",1,1,0.45,0.3125
"study 2","US","general population",10518,2,"Amy","English","Male",34,"White Milange, 1/4 Romanian Jew",1,2,"Mom: Novelist, Dad: Translator","Software engineer","Bachelors degree",NA,"Urban","No","Parents non specifically aligned, Mom: Zen Buddhism, spiritual, Dad: Non affiliated agnostic/atheist",-2,"Mom - Maybe Bay Area Zen Center",1,1,0.05,0
