"study","country","subject_id","subject_gender","subject_age","subject_ethnicity","subject_afford","subject_ses","subject_occupation_parent","subject_urban_rural","subject_religion","subject_religiosity","subject_church","subject_tongues","spev_score","dse_score","pv_score","por_score","abs_score","hall_score","para_score","cog_score","ctl_score"
"Study 4","US",10966,"female",19,"hispanic",0,0,"mdata","urban",".",1,".",".",0.5,1.5,0.571428571428571,0.9375,0.757575757575758,0.833333333333333,1,0.111111111111111,0.416666666666667
"Study 4","US",10967,"male",18,"White",0,0,"boss","urban",".",0,".","0",0,1.71428571428571,0.214285714285714,0.125,0.588235294117647,0,0,-0.111111111111111,1
"Study 4","US",10968,"female",18,"Mexican",0,1,"Teacher, Insurance Seller","urban","Catholicism",1,"Holy Spirit","0",0.636363636363636,3.07142857142857,0.285714285714286,0.75,0.411764705882353,0.166666666666667,0.285714285714286,0.277777777777778,1.33333333333333
"Study 4","US",10969,"female",18,"Black",0,0,"Manager","urban","Christian",1,"Non-denominational","1",0.636363636363636,3.21428571428571,0.428571428571429,0.5,0.5,0,0.285714285714286,0.166666666666667,1.5
"Study 4","US",10970,"female",19,"white",0,1,"self employed","urban",".",-1,".",".",0.0909090909090909,1.78571428571429,0.714285714285714,0.8125,0.558823529411765,0.5,0.428571428571429,0.722222222222222,2.83333333333333
"Study 4","US",10971,"female",18,"akan",0,1,"retired","urban","Christian",1,".",".",0.789473684210526,0.857142857142857,1.21428571428571,0.8125,0.941176470588235,0.833333333333333,0.714285714285714,-0.277777777777778,-0.25
"Study 4","US",10972,"female",18,"White / Mexican",1,1,"Project Manager","rural","Catholic",2,"Saint Catherine's",".",0.454545454545455,2.92857142857143,1.5,0.5,0.441176470588235,1.83333333333333,0.285714285714286,0.5,1.66666666666667
"Study 4","US",10973,"female",19,"Punjabi",0,0,".","urban","Sikhism",1,".",".",0.333333333333333,2.14285714285714,0.642857142857143,0.4375,0.617647058823529,0.5,0.571428571428571,0.611111111111111,1.25
"Study 4","US",10974,"male",18,"Latino; Hispanic",0,-1,"social worker; mechanic","rural","Catholicism",2,"Catholic church (Mission Dolores)","1",0.95,3.07142857142857,1.78571428571429,0.9375,0.764705882352941,2.16666666666667,0.571428571428571,1.66666666666667,2.41666666666667
"Study 4","US",10975,"male",18,"Hispanic",0,0,"teacher","urban",".",-2,".","0",0.19047619047619,1.21428571428571,0.214285714285714,0,0.852941176470588,1.5,0,0.388888888888889,-0.166666666666667
"Study 4","US",10976,"female",18,"Hispanic",1,-1,NA,"urban",".",1,".",".",1.6875,2.07142857142857,1.14285714285714,0.9375,0.588235294117647,1.5,0.857142857142857,0.277777777777778,1.75
"Study 4","US",10977,"female",19,"Mexican",1,-1,"Business owner","rural","Agnostic",1,".",".",0.421052631578947,2.42857142857143,0.142857142857143,0.5625,0.794117647058823,1,0.428571428571429,0.555555555555556,1
"Study 4","US",10978,"female",19,"white",0,-1,"college advisor","urban","catholic",0,"the immaculate heart of mary catholic?","0",0,0.928571428571429,0.285714285714286,0.25,0.352941176470588,0.333333333333333,0.285714285714286,0.444444444444444,0.166666666666667
"Study 4","US",10979,"female",18,"Black",1,-2,"Mom: school cafeteria worker / gas station clerk","urban","Christianity",0,".",".",0.733333333333333,2.14285714285714,0.857142857142857,0.9375,0.676470588235294,1.5,0.428571428571429,-0.666666666666667,-0.75
"Study 4","US",10980,"female",18,"Filipino",0,-1,"Psychologist","urban",".",-2,".",".",0,1,1.35714285714286,0.5625,0.764705882352941,1,0,0.333333333333333,0
"Study 4","US",10981,"male",18,"Asian",0,2,"Business","urban","Agnostic",0,".",".",1.38095238095238,1.5,1.42857142857143,0.75,0.823529411764706,0.333333333333333,0.571428571428571,0.0555555555555556,0.666666666666667
"Study 4","US",10982,"female",18,"black",0,0,"medical coder / truck driver","rural",".",-2,".",".",0.25,1,0,0.1875,0.705882352941177,1,0.285714285714286,-0.722222222222222,-1
"Study 4","US",10983,"female",18,"hispanic",1,-1,"purchaser","urban","Catholicism",0,".",".",0.636363636363636,1.5,1.21428571428571,0.9375,0.588235294117647,1.33333333333333,0.857142857142857,1,0.666666666666667
"Study 4","US",10984,"female",19,"White / Caucasian",0,0,"Salesperson(s)","rural","Agnostic / Atheism",-2,".",".",0.0909090909090909,1.07142857142857,0.5,0.125,0.617647058823529,1.16666666666667,0,0.388888888888889,0.333333333333333
"Study 4","US",10985,"female",18,"White",0,0,"Teacher","urban",".",-2,".",".",0,0.214285714285714,0,0,0.352941176470588,0.166666666666667,0,0.0555555555555556,-1.58333333333333
"Study 4","US",10986,"male",18,"Latino",0,0,"retail","rural",".",0,".",".",0,0.214285714285714,0,1,0.0294117647058824,0.333333333333333,0,0.111111111111111,1.5
"Study 4","US",10987,"male",18,"Asian",0,1,"lab researcher & beekeeper","urban",".",-2,".",".",0.333333333333333,1.35714285714286,0.5,0.3125,0.705882352941177,0.833333333333333,0.571428571428571,0.944444444444444,-0.166666666666667
"Study 4","US",10988,"female",18,"Black / White / Mexican",0,0,"Elementary School Secretary","urban","Christianity",1,"Lancaster Baptist Church","0",0.19047619047619,3.85714285714286,0,0.4375,0.441176470588235,0.166666666666667,0,0.722222222222222,0
"Study 4","US",10989,"male",18,"Black",0,1,"N/A","rural","Agnostic",-2,".",".",0,1.14285714285714,0.0714285714285714,0,0.382352941176471,0.666666666666667,0,0.611111111111111,2.75
"Study 4","US",10990,"male",19,"Filipino",1,0,"promoter","urban","Catholic",0,"Saint Andrews",".",0,0,0.307692307692308,0.666666666666667,0.294117647058824,1,0,0,-0.916666666666667
"Study 4","US",10991,"male",18,"Filipino",0,1,"Nurse","urban",".",-2,".",".",0.111111111111111,1.92857142857143,0.5,0.375,0.588235294117647,0.333333333333333,0.142857142857143,0.833333333333333,2.5
"Study 4","US",10992,"male",18,"Asian American",0,0,"County","urban",".",0,".",".",0,0,0.785714285714286,0.3125,0.441176470588235,0.5,0,-0.0555555555555556,1.66666666666667
"Study 4","US",10993,"male",19,"Chinese",0,1,"real estate","urban",".",-2,".",".",0.136363636363636,0.928571428571429,0,0.0625,0.323529411764706,0.333333333333333,0,0.722222222222222,1.41666666666667
"Study 4","US",10994,"female",18,"Native Hawaiian / White",1,0,"Facility Manager","urban",".",1,".",".",1.63157894736842,2.85714285714286,1,0.625,0.823529411764706,1,1,0.944444444444444,0.0833333333333333
"Study 4","US",10995,"female",18,"hispanic",0,0,"Nurse","rural","Christian",0,".","1",1.63157894736842,3.28571428571429,1.78571428571429,1.3125,0.235294117647059,0.5,0.428571428571429,-0.0588235294117647,0.916666666666667
"Study 4","US",10996,"female",18,"White",0,-1,"Doctor","urban","Christian",1,"Freedom House","1",2.59090909090909,4.21428571428571,2.14285714285714,0.9375,0.882352941176471,1.66666666666667,0.857142857142857,0.777777777777778,1.25
"Study 4","US",10997,"male",18,"White",0,1,"Creative Director and Writer","urban",".",-2,".",".",0.0454545454545455,0.285714285714286,0.571428571428571,0,0.205882352941176,0.666666666666667,0,1.72222222222222,1.66666666666667
"Study 4","US",10998,"male",21,"Chinese",0,0,"Engineer","urban","running the trap",-1,".","0",0,0.785714285714286,0.142857142857143,0,0.0882352941176471,0.666666666666667,0,1,3
"Study 4","US",10999,"female",18,"Hispanic / Latina",0,0,"Care-Giver","urban","Catholic",1,".","0",2.72727272727273,4.21428571428571,1.64285714285714,1.5625,0.852941176470588,2.83333333333333,1,0.888888888888889,1.75
"Study 4","US",11000,"female",18,"Hispanic / Latina",0,1,"Receptionist",NA,"Catholicism",1,"St. Edwards twice a month","1",1.28571428571429,2.28571428571429,0.785714285714286,1,0.764705882352941,1.83333333333333,0.857142857142857,0.555555555555556,0.75
"Study 4","US",11001,"female",18,"African American",1,-1,".","urban","Christian",2,".","1",2.21428571428571,3.76923076923077,1.35714285714286,1.1875,0.941176470588235,0.666666666666667,0.714285714285714,0,0.666666666666667
"Study 4","US",11002,"male",18,"Hispanic",0,0,"truck driver, teacher",NA,"catholic",1,"none at the moment",".",1.28571428571429,3.78571428571429,1.85714285714286,1.3125,0.676470588235294,1.5,0.714285714285714,0.764705882352941,2.08333333333333
"Study 4","US",11003,"female",18,"filipina",0,0,"real estate","urban","catholicism",2,"any catholic church","1",0.947368421052632,5,1.14285714285714,1.5625,0.882352941176471,2.16666666666667,0.714285714285714,1.22222222222222,2
"Study 4","US",11004,"male",18,"Caucasian",1,-1,"Sales Associate","urban",".",1,"The Church of Rock and Roll",".",1,1.21428571428571,0.857142857142857,0.625,0.882352941176471,1.16666666666667,0.714285714285714,1,1.25
"Study 4","US",11005,"female",18,"White",0,0,"Realtor","urban",".",-2,".",".",0.25,1.5,0.357142857142857,0.75,0.735294117647059,1,0.571428571428571,0.722222222222222,0.666666666666667
"Study 4","US",11006,"male",18,"Hispanic/Arabian",0,-1,"none","rural",".",0,"Catholic","1",0.9375,1.57142857142857,0.642857142857143,0.428571428571429,0.852941176470588,0.666666666666667,0.285714285714286,0.333333333333333,1.58333333333333
"Study 4","US",11007,"male",18,"Hispanic",0,0,"mortgage","urban","Catholic",1,"Mary Heart","0",0.863636363636364,3.71428571428571,0.5,1.0625,0.558823529411765,1,0.571428571428571,0.277777777777778,0.916666666666667
"Study 4","US",11008,"male",18,"Hispanic & White",0,-1,"Kaiser Permanente","urban","Catholic",-1,"St. Louis de Marillac",".",1.05,2.57142857142857,1.21428571428571,0.875,0.588235294117647,1,0.714285714285714,0.0588235294117647,0.666666666666667
"Study 4","US",11009,"male",18,"White",0,1,"Programmer","urban",".",-2,"The Church of Hard Rock",".",0.235294117647059,0.923076923076923,0.285714285714286,0,0.911764705882353,1.33333333333333,0,1.22222222222222,-0.416666666666667
"Study 4","US",11010,"male",18,"Hispanic-American",0,0,"teacher","urban",".",-2,".",".",0.0909090909090909,1.71428571428571,0.714285714285714,0.3125,0.470588235294118,1,0.428571428571429,-0.222222222222222,-0.166666666666667
"Study 4","US",11011,"male",18,"Black/African-American",0,-1,"legislative data center (manager)","rural","Christianity",1,"Calvary Christian Center","1",0.5625,3.53846153846154,0.357142857142857,0.8,0.294117647058824,0.333333333333333,0.285714285714286,0.333333333333333,1
"Study 4","US",11012,"male",22,"Mexican",0,-1,"Unemployment","urban",".",-2,".",".",0,0.785714285714286,0.0714285714285714,0.125,0.333333333333333,0.166666666666667,0.571428571428571,0.166666666666667,1.08333333333333
"Study 4","US",11013,"male",25,"Coptic",NA,-1,"Clerk","rural","Christianity",2,"Somewhere",".",0.5,4,0.5,0.6875,0.0588235294117647,0.5,0,-0.111111111111111,1.41666666666667
"Study 4","US",11014,"male",18,"Filipino",0,0,"internist","rural","Catholicism",0,"St. James Church -> Davis, CA","0",0,0.785714285714286,0.785714285714286,1.125,0.735294117647059,1.16666666666667,0,0.777777777777778,1
"Study 4","US",11015,"female",18,"Chinese",1,0,"engineer","urban",".",-2,".",".",0.142857142857143,0.571428571428571,0.357142857142857,0.3125,0.294117647058824,0.5,0,-0.333333333333333,0.25
"Study 4","US",11016,"male",18,"White",0,0,"Doctor","urban","Catholic",2,".",".",1.47368421052632,3.5,1.28571428571429,1.25,0.382352941176471,1.33333333333333,0,0.333333333333333,3
"Study 4","US",11017,"male",18,"Biracial / (Black and White)",0,0,"HR Director",NA,"Spirituality",1,".",".",0.9,1.92857142857143,1.14285714285714,1.25,1,1,0.857142857142857,0.333333333333333,2.25
"Study 4","US",11018,"male",18,"Black",1,-1,"Hair stylist","urban","Baptism",2,"Calvary Baptist Church",".",1.94444444444444,2.85714285714286,1.92857142857143,0.875,0.617647058823529,2,0.285714285714286,-0.166666666666667,0.583333333333333
"Study 4","US",11019,"male",19,"White/Caucasian",1,NA,"wizards","urban","Catholic",1,"St. Cyril of Jerusalem school","0",1.75,2.78571428571429,1.78571428571429,1.25,0.823529411764706,1.83333333333333,0.571428571428571,0.166666666666667,-0.166666666666667
"Study 4","US",11020,"male",18,"Mexican-Cuban-American",1,-1,"My mom works @ a mission","urban",".",-2,".",".",0.0909090909090909,1.07142857142857,0,0.0625,0.794117647058823,0.833333333333333,0,1.44444444444444,1.25
"Study 4","US",11021,"female",19,"Black",0,0,"Abstractor","urban",".",-2,".",".",0,1.42857142857143,0.357142857142857,0.4375,0.411764705882353,0.5,0,-1.38888888888889,2
"Study 4","US",11022,"male",19,"mexican",0,0,"mortgage consultant","urban","Christianity",0,"Cathedral of faith","1",0.35,2.14285714285714,1.85714285714286,1.1875,0.294117647058824,1.16666666666667,0.833333333333333,-0.277777777777778,1
"Study 4","US",11023,"female",19,"Latina",0,-1,"none","urban","idk",0,".",".",0.588235294117647,1.28571428571429,2,1.0625,0.323529411764706,1.16666666666667,0.285714285714286,0.388888888888889,0.583333333333333
"Study 4","US",11024,"female",18,"White",0,0,"Sales","urban",".",-2,".",".",0.35,2.14285714285714,1.78571428571429,1.125,0.294117647058824,1.16666666666667,0.833333333333333,-0.277777777777778,1
"Study 4","US",11025,"female",18,"Indian / European",1,0,"Veteran/ Commercial Real State","rural","Agnostic",1,"Rarely Hindu temple",".",2.28571428571429,2.28571428571429,1.78571428571429,1.33333333333333,1,2.5,1,0.333333333333333,0.333333333333333
"Study 4","US",11026,"female",18,"white",0,0,"broker","urban",".",-1,".",".",0.136363636363636,1.5,0.0714285714285714,0.375,0.441176470588235,0.333333333333333,0.285714285714286,1.05882352941176,2
"Study 4","US",11027,"male",22,"hispanic",1,0,"teacher","rural",".",-2,".","1",0.363636363636364,1.28571428571429,0,0,0.529411764705882,1,0,0.777777777777778,0.166666666666667
"Study 4","US",11028,"male",18,"Black",0,-1,"Photographer","urban","Christian",1,"I don't go to church often","1",3.23529411764706,3.66666666666667,1.78571428571429,1,0.764705882352941,1.16666666666667,0.6,0.666666666666667,0.5
"Study 4","US",11029,"male",18,"African American",0,0,"Office worker","urban",".",0,".",".",0.363636363636364,1.78571428571429,0.571428571428571,0.0625,0.352941176470588,1,0,0.166666666666667,1.25
"Study 4","US",11030,"male",18,"Asian & White",0,0,"financial consultant","rural",".",0,".",".",2,2,1.57142857142857,1.3125,0.558823529411765,1,0,-0.222222222222222,3
"Study 4","US",11031,"male",21,"white",0,-1,"police officer","urban",".",1,".","0",0.428571428571429,2.76923076923077,1.30769230769231,1.1875,0.617647058823529,1.66666666666667,0.571428571428571,1,1.08333333333333
"Study 4","US",11032,"male",18,"White",0,0,"Health care","urban","Christian",1,".",".",0,2.92857142857143,1.07142857142857,0.8125,0.852941176470588,0.333333333333333,1,0.277777777777778,0.416666666666667
"Study 4","US",11033,"male",18,"White",1,-1,"Work","rural",".",1,"Church","1",1.28571428571429,2.46153846153846,1.78571428571429,0.6875,0.875,0.833333333333333,0.666666666666667,0.4375,0.0833333333333333
"Study 4","US",11034,NA,18,"Caucasian",1,0,"Chaplain/substitute teacher, unemployed","urban","United Methodist Christian",2,"Mesa verde UMC, costa mesa; temple UMC","0",1.66666666666667,3.85714285714286,1.57142857142857,1,0.764705882352941,1.33333333333333,0.285714285714286,1.11111111111111,0.25
"Study 4","US",11035,"female",18,"caucasian / hispanic",0,1,"paraeducator & fibre optics","rural","Catholicism/Agnostic",0,".","1",0.133333333333333,1.28571428571429,0.714285714285714,0.8125,0.529411764705882,0.333333333333333,0.285714285714286,-0.611111111111111,1.58333333333333
"Study 4","US",11036,"male",18,"Hispanic / [illegible]",1,-1,NA,"urban","Christian",1,".",".",1.0952380952381,3.57142857142857,1,0.3125,0.727272727272727,1,0.714285714285714,0.555555555555556,1.16666666666667
"Study 4","US",11037,"male",19,"Mexican",1,0,"Loving Parents'","urban","Catholicism",0,"OLMM","0",0.318181818181818,0.928571428571429,0.5,0.25,0.529411764705882,0,0,-0.166666666666667,0.5
"Study 4","Ghana",41472,"male",21,"Fante",0,0,"Trader","urban","Christianity",2,"Pentecost","1",2.68181818181818,4,1.35714285714286,0.6875,0.529411764705882,1.16666666666667,0.571428571428571,1.11111111111111,1.41666666666667
"Study 4","Ghana",41473,"male",23,"Akan",0,-1,"Farmer","rural","Christianity",-1,"HW? - Jehovah Witness","0",0.0909090909090909,4.71428571428571,1.57142857142857,0.75,0.411764705882353,0.333333333333333,1,0.944444444444444,2.41666666666667
"Study 4","Ghana",41474,"male",25,"Bono",0,1,"Accountant","urban","Christianity",2,"Baptist Church","1",2.35,3.78571428571429,1.5,1.3125,0.676470588235294,0.5,1,1.33333333333333,2.16666666666667
"Study 4","Ghana",41475,"male",23,"Ashanti",0,1,"Trader","urban","Christianity",1,"Assemblies of God","1",2.68421052631579,2.92857142857143,1.85714285714286,1.3125,0.647058823529412,1.33333333333333,0.714285714285714,-0.0555555555555556,1.08333333333333
"Study 4","Ghana",41476,"male",23,"Ashanti",1,1,"Trader","rural","Christianity",1,"Methodist","1",1.09090909090909,3.14285714285714,1.21428571428571,1.1875,0.676470588235294,1,0.571428571428571,-0.166666666666667,-0.666666666666667
"Study 4","Ghana",41477,"male",22,"Ewe",0,1,"Business Man","urban","Christianity",2,"Methodist","0",1.8,3.57142857142857,0.5,1.125,0.393939393939394,0,0.428571428571429,-0.0555555555555556,2
"Study 4","Ghana",41478,"male",25,"Akan",0,1,"Lecturer","rural","Christianity",1,"Methodist",".",1.4375,2.78571428571429,0.714285714285714,1.0625,0.382352941176471,0.833333333333333,0.666666666666667,0.555555555555556,0.416666666666667
"Study 4","Ghana",41479,"male",24,"Hausa",0,0,"Mason","urban","Islam",2,".",".",0.363636363636364,3.78571428571429,0.214285714285714,0.4375,0.411764705882353,0.166666666666667,0,0.111111111111111,0.25
"Study 4","Ghana",41480,"male",22,"Ewe",1,-1,"Trader","urban","Christianity",2,"Presbyterian","1",2.05,3.71428571428571,1.64285714285714,1.625,0.794117647058823,1.83333333333333,0.857142857142857,0.166666666666667,0.333333333333333
"Study 4","Ghana",41481,"male",18,"Fante",0,0,"Clergy","rural","Christianity",1,"Assemblies of God","1",1.58823529411765,3.28571428571429,0.571428571428571,0.6875,0.647058823529412,0.666666666666667,0.571428571428571,1.38888888888889,1.66666666666667
"Study 4","Ghana",41482,"male",23,"Ashanti",1,1,"Teachers","rural","Christian",2,"S.D.A. (Seventh Day Adventist)","1",0.681818181818182,4,1.64285714285714,1.375,0.558823529411765,0.666666666666667,0.714285714285714,0.833333333333333,1.5
"Study 4","Ghana",41483,"male",26,"Ashanti",0,1,"Trader","rural","Christianity",1,"Methodist Church","1",2.5,3.78571428571429,2.35714285714286,1.125,0.705882352941177,1,1,0.0588235294117647,-0.583333333333333
"Study 4","Ghana",41484,"male",23,"Guan",0,1,"Teaching","urban","Christianity",0,"Roman Catholic Church","1",0,2.92857142857143,1.35714285714286,0.8125,0.735294117647059,0.833333333333333,0.571428571428571,0.5,1.16666666666667
"Study 4","Ghana",41485,"male",24,"Ashanti",0,1,"Trader","urban","Christianity",2,"Pentecost","1",2,3.35714285714286,2.57142857142857,1.73333333333333,0.735294117647059,1.66666666666667,0.285714285714286,0.166666666666667,-0.0833333333333333
"Study 4","Ghana",41486,"male",27,"Akan",0,1,"Trader","urban","Christianity",1,"Presbyterian","1",2.22222222222222,3.57142857142857,1,0.9375,0.764705882352941,1,0.714285714285714,0.444444444444444,1.25
"Study 4","Ghana",41487,"male",25,"Akan",0,0,"Retired Miner","urban","Atheist",-2,".",".",0.545454545454545,1.42857142857143,0.5,0.25,0.647058823529412,2.16666666666667,0.5,1.11111111111111,1.5
"Study 4","Ghana",41488,"male",21,"Ewe",0,2,"Photographer","rural","Christianity",2,"Pentecost","1",2.18181818181818,3.14285714285714,2.42857142857143,1.9375,0.911764705882353,0.833333333333333,0.571428571428571,0.5,0.0833333333333333
"Study 4","Ghana",41489,"male",19,"Fante",0,0,"Farming","urban","Christianity",0,"Pentecost","1",1.14285714285714,3.64285714285714,0.357142857142857,0.25,0.323529411764706,0,0.285714285714286,0,0.5
"Study 4","Ghana",41490,"male",19,"Akan",1,0,"Teacher","rural","Christianity",2,"Temple of Praise (ToP)","1",2.28571428571429,4.28571428571429,1.57142857142857,1.0625,0.911764705882353,1.5,0.428571428571429,-0.166666666666667,-0.916666666666667
"Study 4","Ghana",41491,"male",28,"Kon Komsa",0,0,"Farming","rural","Christianity",2,"Presby","1",3.04545454545455,4.28571428571429,1.71428571428571,1.3125,0.515151515151515,2,0.285714285714286,-0.777777777777778,0.75
"Study 4","Ghana",41492,"male",20,"Ghanaian (Ga)",1,-1,"Fish Monger","urban","Christianity",1,"The Divine Healers Church - Ghana (DIHESA)","1",3,4.07142857142857,1.07142857142857,1,0.852941176470588,1.66666666666667,0.857142857142857,0.277777777777778,-0.416666666666667
"Study 4","Ghana",41493,"male",22,"Akan",0,2,"Teacher","rural","Christianity",0,"Pentecost","1",1.46666666666667,3.14285714285714,1.14285714285714,0.5,0.636363636363636,0.666666666666667,0.428571428571429,-0.222222222222222,-0.416666666666667
"Study 4","Ghana",41494,"male",23,"Fante",0,0,"Trader","rural","Christianity",1,"Catholic","1",1.38888888888889,3.35714285714286,1.71428571428571,1.125,0.382352941176471,1,0.428571428571429,0.111111111111111,1.08333333333333
